org,repo,score,issue_open_close_ratio,num_open_pr,pr_open_duration,num_contributors,comments_per_pr,commit_per_dev,num_releases,num_commits,issue_open_user,issue_open_duration
zongou,Extensions,0.7692307,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
symphonyDev,DemoRepoPublic6u5ny3,0.7692307,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
m-iris,reviewing-a-pull-request,0.76805556,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
m-iris,merge-conflicts,0.76805556,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
selfteaching,selfteaching-python-camp,0.76798,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Emurgo,yoroi-frontend,0.7678174,0.0,0.0,680.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
apache,pulsar,0.7665401,0.0,0.0,507.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0
pingcap,tidb,0.7664259,0.0,1.0,43.0,2.0,1.0,0.0,0.0,0.0,1.0,48.0
stripe,stripe-php,0.7656521,0.0,0.0,29.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
nipy,dipy,0.765475,0.0,0.0,23.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
stripe,stripe-dotnet,0.7627757,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,15.0
ElemeFE,element,0.7623105,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,993.0
dotnet,docfx,0.76160717,0.0,0.0,90.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
Unity-Technologies,ml-agents,0.76108944,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
microsoft,onnxruntime,0.7610679,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
chapel-lang,chapel,0.75972223,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1904-flex-projects,Team-A-GraceShopper,0.75972223,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
worldbank,iefieldkit,0.75961536,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
jayfallon,portfolio-2019-bis,0.75961536,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
maticzav,gimb-events,0.7596046,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
ThatConference,that.us,0.7595613,0.0,0.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
IrisDroidology,portfolio,0.7588675,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0
Qiskit,qiskit-tutorials-community,0.7569445,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
juampi,hackergateway,0.7560626,0.0,0.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
istio,istio,0.75574404,1.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,2.0,1307.0
apache,hbase,0.7548123,0.0,0.0,64.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
treehouses,builder,0.75444424,0.0,0.0,19.0,1.0,0.0,1.0,0.0,1.0,1.0,53.0
projectacrn,acrn-hypervisor,0.75406957,1.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
googleapis,gax-nodejs,0.75312304,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
googleapis,nodejs-compute,0.75310147,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
googleapis,nodejs-bigtable,0.75310147,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1846689910,vista,0.7520299,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
rancher,rancher,0.7504929,3.0,2.0,117.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
inhabitedtype,ocaml-aws,0.75039226,0.0,0.0,255.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
lookwendyican,Project-One,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
johnericward,groupproject1,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
tsherry82,ProjectOne,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
jmrada14,project1-,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
jayrwebdev,G.OO.H,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Nima99,project-1,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
runtime-error5,project3,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
bwj19-wedding-planner-portfolio,Front-End,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
J-Lindley,Intervue,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft,sarif-sdk,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
fillyh,mfw-restaurante,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mentorme-build-week,landing-page,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
molly02,Travel-Agency,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
LCTT,TranslateProject,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
tenthyoung,project-3,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
cs19-buildweek-frogs,backend,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
nickborbe,caso-client-landing-temp,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
wikimedia,grunt-stylelint,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AlyssaB283,Comp-2068-Assignment-2,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
labspt3-nutrition-tracker,nutrition-tracker-FE,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
flightgenie,flightgenie,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
team-toolee,toolio_v2,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
lenaxellos,TEST,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ecs160ss12019,Foosummer,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Edisson22,claseuno,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
jrectenwald,everyone-loves-toast,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
dotnet,core-sdk,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
symphonyDev,DevPublicRepoAK95y2rk,0.74999994,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
