org,repo,score,issue_open_close_ratio,num_open_pr,pr_open_duration,num_contributors,comments_per_pr,commit_per_dev,num_releases,num_commits,issue_open_user,issue_open_duration
uber,cadence,0.7357472,1.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
IndrajeetPatil,ggstatsplot,0.7348866,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,374.0
devshop,typescript-interface-to-builder-class,0.73397434,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
wmfs,tymly-cardscript-sdk,0.73397434,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
rekcurd,dashboard,0.73397434,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
opspresso,toaster,0.73397434,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
jojo-tutor,qa-bot-portal,0.73397434,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
marcello3d,trimerge,0.73397434,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
commercereads,website,0.73396355,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
lgeiger,ergday,0.73395276,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
absinthe-graphql,absinthe,0.7338983,1.0,0.0,1635.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0
jeremyczhen,fdbus,0.73382324,0.0,0.0,14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
akashic-games,akashic-pdi,0.73354256,0.0,0.0,40.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
tensorflow,docs,0.7330156,0.0,0.0,44.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
arinmsn,markdown-portfolio,0.73267823,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
anuragsoni,routes,0.732265,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
passionstorm,hrm,0.73220974,0.0,0.0,410.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
chocolatey-community,chocolatey-coreteampackages,0.7307692,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
yydds,cdn,0.7307692,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
UNDataForum,components,0.7307692,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
dlang,dmd,0.7302271,0.0,0.0,11.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
kubeflow,website,0.73016244,0.0,0.0,17.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
ExtraConcentratedJuice,pokecord-catcher,0.730106,0.0,0.0,4975.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0
inspec,inspec,0.7295335,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
adaisbae,markdown-portfolio,0.7295335,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
zio,zio,0.7295011,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1298se,Contrail-Web,0.72949034,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
tendermint,kms,0.72949034,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
edgexfoundry,edgex-go,0.7294646,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0
openzipkin,zipkin,0.7293068,1.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ooni,explorer,0.7291752,1.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,1.0,26.0
galtspace,geesome-node,0.7291457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0
googleapis,gapic-generator,0.72911537,0.0,0.0,114.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
brotherlogic,cdprocessor,0.729086,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,27.0
ant-design,ant-design-pro,0.729086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0
sulix,omnispeak,0.7290183,0.0,0.0,123.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
Baystation12,Baystation12,0.72899705,1.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,1.0,82.0
open-power,op-build,0.7288783,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
greglongo6,github-slideshow,0.72868556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,161.0
Display-Lab,knowledge-base,0.72861683,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,184.0
Azure,azure-sdk-for-go,0.7284543,0.0,3.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CaiJingLong,flutter_page_indicator,0.72843456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,245.0
altair-viz,altair,0.728144,0.0,0.0,204.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
emscripten-core,emscripten,0.7280871,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,1.0,224.0
microsoft,praxxis,0.7277778,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
emberjs,ember.js,0.72770226,1.0,0.0,461.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
googleapis,nodejs-storage,0.7275523,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,663.0
ange-yaghi,manta-ray,0.7274006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,591.0
SFDigitalServices,sfgov,0.72687876,0.0,1.0,14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
parse-community,parse-dashboard,0.7268558,0.0,0.0,32.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
ajsya,ajsya.github.io,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
openmsupply,mobile,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
smeighan,xLights,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
terascope,teraslice,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
IBM,TSML.jl,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
bnelson1324,RasPG,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
adobe,helix-log,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
relipasoft,religram-api,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
cennznet,eighteenPlusApp,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
nature-of-code,noc-book-2,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
tambosi,video-maker,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
sedatmertk,innersource,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
brotherlogic,recordgetter,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
GunnerLab,Stable-MCCE,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
m-iris,security-on-github,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
JakeAdmire,personal-website,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
lucasromagnoli,meetapp,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
rundeck,rundeck,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
izaiasmachado,yt-subs-count,0.72638893,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
jpadilla,telegram-gate,0.7263781,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
metabase,metabase,0.7263781,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ITensor,ITensors.jl,0.726374,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
silverstripe,silverstripe-framework,0.7263673,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AbhayChandel,WarehouseManagementSystem,0.726359,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0
kovidgoyal,kitty,0.72634566,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
OData,WebApi,0.72632414,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
brotherlogic,recordcollection,0.7263022,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0
socialkorp,Clinicamaissaude,0.7262843,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0
vnpy,vnpy,0.7262378,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
justindesrosiers,imd_radio_car,0.7262269,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
buildkite,docs,0.7261946,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
tamuhack-org,Ouroboros,0.7261406,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
McCLIM,McCLIM,0.72611105,0.0,0.0,101.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
mozilla-mobile,fenix,0.7258942,1.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
PatienceD,Bike-Repair,0.7258898,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,167.0
pedromtelho,QuataBanking,0.7257285,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,221.0
traPtitech,booQ,0.72553074,1.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,121.0
wnsgkqkr,CommonForLazybones,0.7252473,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,382.0
AugurProject,augur,0.725213,0.0,0.0,72.0,1.0,0.0,0.0,0.0,0.0,1.0,1063.0
vareal-vietnam,online-exam,0.72489935,1.0,0.0,138.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
personium,app-cc-home,0.724784,3.0,2.0,186.0,1.0,0.0,0.0,0.0,0.0,2.0,330.0
enigma-dev,enigma-dev,0.72475433,0.0,1.0,166.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
mikeqoo1,golang_school,0.72468555,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,570.0
OnetapInc,locked-rails-web-sample,0.7246511,1.0,0.0,161.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
alibaba,nacos,0.7243972,0.0,0.0,420.0,1.0,0.0,0.0,0.0,0.0,1.0,79.0
jenkins-x,jenkins-x-builders,0.7242984,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
hfreire,modern-logger,0.7242984,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
evalphobia,aws-sdk-go-wrapper,0.7242984,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
vtex-apps,docs-ui,0.72423375,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
adobe,generator-tsx,0.72422355,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0
calibreapp,image-actions,0.72417974,0.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
thepirat000,CachingFramework.Redis,0.72413653,0.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
zulfilee,circle2,0.72405654,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
box,box-ui-elements,0.7240503,0.0,0.0,23.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
trilinos,Trilinos,0.7240458,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
minetest,minetest_game,0.72386235,0.0,0.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
wheatevo,wiiu-vc-extractor,0.7236392,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,217.0
KBonnicksen,eCommerce,0.7236111,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
iqlusioninc,abscissa,0.7236111,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
kathleenkalugdan,personal-blog,0.7236111,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
kirksc1,sagacious,0.7236111,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
GregStephen,poop-scoop,0.7236111,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
apache,incubator-datasketches-memory,0.72354925,0.0,0.0,47.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
sicontest,autod,0.72354233,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0
dshoreman,servidor,0.72353506,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0
pingcap,dm,0.72327554,0.0,1.0,303.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
serviejs,servie,0.72317606,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,372.0
biopython,biopython,0.72317153,0.0,0.0,82.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
StellarCN,py-stellar-base,0.7226134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2193.0
kinvolk,lokomotive-kubernetes,0.7218763,0.0,0.0,202.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
James-Yu,LaTeX-Workshop,0.72180283,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0
k14s,ytt,0.7216495,0.0,0.0,223.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
chainer,onnx-chainer,0.72161585,0.0,0.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,858.0
rendez-vous-swift,ios-rendezvous,0.7216064,0.0,0.0,227.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
carbon-design-system,carbon,0.72130173,0.0,2.0,16.0,1.0,2.0,0.0,0.0,0.0,1.0,31.0
hfreire,watch-rtp-play,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ultimatesource,mutk,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Coffee-fueled-deadlines,osrs-hiscores,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
thepudds,fzgo,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BojanOnTheInternet,7Cav_FullSpectrum_V4.sara,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BojanOnTheInternet,7Cav_FullSpectrum_V4.Takistan,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
modil-io,jsutils,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
delphix,zfs-builder,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BojanOnTheInternet,7Cav_FullSpectrum_V4.ruha,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ScottBrenner,aws-cdk-action,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
evalphobia,google-api-go-wrapper,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
blackflux,robo-config-plugin,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
xwtec,eslint-config-legacy,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
xwtec,eslint-config-vue,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BojanOnTheInternet,7Cav_FullSpectrum_V4.tem_anizay,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
WesleyWilkes,algorithms,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Mikeprod,FriendGroups,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
vanvalenlab,kiosk-frontend,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
zishone,mongover,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
JarvusInnovations,emergence-skeleton,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
JarvusInnovations,hologit,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ImCoolYeah105,Datapack-Utilities,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
qantasairways,runway,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BojanOnTheInternet,7Cav_FullSpectrum_V4.WL_Rosche,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
VictorGarciaGtz,demo-12,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lyfevest,lyfevestio-api,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fsilveir,go-custom-exporter,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
paulmarkcastillo,pmc-android-toolbox,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
iamxayiem,KPD_2042,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7Cav,7Cav_FullSpectrum_V4.Altis,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
hfreire,my-flic-hub,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
avrae,avrae,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
hfreire,make-porto-win-european-best-destination-2017,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
blocktree,go-openw-cli,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7Cav,7Cav_FullSpectrum_V4.Tanoa,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
slaclab,l2MpsLN,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
nervosnetwork,neuron,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
personium,personium-core,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
rosebe,v2ray-SiteDAT,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
hfreire,browser-as-a-service,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
JulianSchoenbaechler,JulesGravTemplate,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
biscuut,SkyblockAddons,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
fhunleth,muontrap,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SunSpecOrangeButton,solar-taxonomy,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
launchdarkly,dotnet-sdk-common,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
xwtec,eslint-config,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
jenkins-x-charts,environment-controller,0.7211539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
kabanero-io,kabanero-website,0.72114784,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
pfnet,optuna,0.72114307,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
deislabs,cnabjs,0.72114307,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
slac-epics-modules,l2MpsAsyn,0.72112143,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
AzureAD,microsoft-authentication-library-for-objc,0.72112143,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ophrescue,RescueRails,0.72112066,0.0,0.0,272.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
slaclab,pysmurf,0.7211179,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0
sorabito,elasticsearch-smalltalk,0.72111064,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
apache,incubator-openwhisk-cli,0.72109985,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
decentraland,explorer,0.7210891,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
twreporter,twreporter-npm-packages,0.7210675,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
leamasuero,simplecms,0.7210642,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0
adobe,helix-logging,0.7210567,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
elastos,Elastos.ELA,0.72104585,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
softwareventures,webpack-config,0.72102433,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
weibreeze,breeze-go,0.72101355,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
blackflux,eslint-plugin-rules,0.7209984,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,52.0
line,line-sdk-ios-swift,0.72098106,0.0,0.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
jupiterandthegiraffe,website,0.7209596,0.0,0.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
googleapis,google-auth-library-nodejs,0.7209119,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
commaai,openpilot,0.7209012,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
gookit,rux,0.7208948,0.0,0.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
kubeflow,manifests,0.7208795,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
neuronlabs,errors,0.720867,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,96.0
alisw,AliPhysics,0.7208579,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
svalinn,ALARA,0.7208579,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
PaddlePaddle,models,0.72083324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
dolanmiu,docx,0.72083324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Pironj,Code-Meetup,0.72083324,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
boyz-ii-mern,BoysIIMERN,0.72083324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
grafana,grafana,0.72083324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
youzan,vant,0.72083324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
mdn,sprints,0.72083324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ZyqGitHub1,h-player-v2,0.72083324,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
PMDShift,GFX,0.72081923,0.0,0.0,31.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
codetheweb,tuyapi,0.7207608,0.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
ssm-deepcove,discover_deep_cove,0.7207392,0.0,0.0,16.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
golang,go,0.7206779,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0
gpii-ops,gpii-infra,0.7206421,0.0,0.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
mattermost,mattermost-helm,0.7204991,0.0,0.0,352.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
bovigo,vfsStream,0.72048724,0.0,0.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,140.0
OpenVisualCloud,Ad-Insertion-Sample,0.7204846,0.0,0.0,62.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
dmjio,miso,0.7204691,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,193.0
pingcap,docs-cn,0.7204262,0.0,0.0,45.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
jacktasia,dumb-jump,0.72026426,0.0,0.0,60.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
croquiscom,style-guide,0.72017795,0.0,0.0,68.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
vincentinttsh,TTSH-Openclass-System,0.7198809,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,426.0
jenkins-infra,jenkins.io,0.7196167,0.0,0.0,120.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
electron,hubdown,0.7195564,0.0,0.0,148.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
frankclong,Messenger-Analyzer,0.71944445,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
sacloud,libsacloud,0.71944445,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
dotnet,dotnet-api-docs,0.71942276,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
argoproj,argo-cd,0.7191112,1.0,1.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,1023.0
SlateFoundation,slate,0.7189519,0.0,0.0,204.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
sacloud,sakuracloud_exporter,0.7189263,1.0,1.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
hyperledger,education-sawtooth-simple-supply,0.71882874,0.0,0.0,193.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
OI-wiki,OI-wiki,0.71869427,1.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,121.0
phpbits,block-options,0.7182675,1.0,1.0,70.0,1.0,0.0,0.0,0.0,0.0,1.0,141.0
wilsonlab,xcrust,0.71805555,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ai-starthon,AI_Starthon2019,0.7180496,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
justintuduong,ItSnowOrNever,0.71794873,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
patrikx3,onenote,0.71794873,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
